원료명,업체명,단가
건크랜베리(더블 다이스드 크랜베리) 2kg,지앤엘푸드,11000
단호박분말(비앤에스플러스),(주)비엔에스플러스,11000
뽕잎분말(비앤에스플러스),(주)비엔에스플러스,6050
녹차분말(비앤에스플러스) 12kg,(주)비엔에스플러스,14245
어성초분말(기능성원료) [눈물싹싹 기능성원료],(주)메디푸드글로벌,#VALUE!
복분자추출분말,인그린(주),9900
도라지추출분말,인그린(주),28600
페퍼민트 [분말],에코젠,242000
해바라기유 18L [L],춘천유통,1944
20야채혼합농축분말 [20KG],해찬솔푸드,16500
울금분말1kg [1kg],이든타운에프앤비 주식회사,8580
유산균배양분말(사균제/EC-12) 1kg,(주)이글벳,#VALUE!
BBC-유산균합제/펫유산균-6(2천억마리/g)11kg,(주)비비씨,#VALUE!
BBC-유산균발효추출분말(GABA),(주)비비씨,#VALUE!
동애등에 마이크로웨이브 건조+분쇄 [20kg],뉴트리인더스트리,3377
혼합유산균 19종 [10억 cfu/g 이상],올랩,38500
정제수 [KG],주식회사 더유핏,#VALUE!
GT콜라겐 [10kg],아미코젠주식회사,41800
통오리가수분해분말 [20kg],주식회사 에스씨아이,6050
생균제 (이지바이오텍),(주)이지바이오텍,55000
포스파티딜세린3kg,두산솔루스 주식회사,506000
